8234;Fjellhaug Internasjonale Høgskole;Sinsenveien 15;0572;https://fih.fjellhaug.no;23232400;82;258;FIH;Fjellhaug International University College
8241;Handelshøyskolen BI;Handelshøyskolen BI;0442;http://www.bi.no;67557000;83;1578;BI;"BI Norwegian Business School "
8243;Bergen Arkitekthøgskole;Sandviksbodene 59-61A;5035;https://bas.org;55363880;82;1593;BAS;Bergen School of Architecture
8247;Høgskulen for grøn utvikling;Arne Garborgsveg 22;4340;http://hgut.no;51799400;82;1622;HGUT;University College for Green Development
8248;Høyskolen for ledelse og teologi;Michelets vei 62;1368;https://hlt.no;67103540;82;1624;HLT;Norwegian School of Leadership and Theology
8253;Høyskolen Kristiania;Postboks 1190 Sentrum;0107;http://kristiania.no;22596000;82;1615;HK;Kristiania University of Applied Sciences
8254;Høyskolen for dansekunst;Marstrandgata 8;0566;http://hfdk.no;90113896;82;21094;HFDK;University College of Dance Art
9003;Oslo fylkeskommune;Rådhuset, 0037 OSLO;0037;http://www.oslo.kommune.no;21802180;90;NULL;NULL;NULL
9011;Rogaland fylkeskommune;Postboks 130 Sentrum, 4001 STAVANGER;4001;http://www.rogfk.no;51516600;90;NULL;NULL;NULL
9015;Møre og Romsdal fylkeskommune;Postboks 2500, 6404 MOLDE;6404;http://www.mrfylke.no;71280000;90;NULL;NULL;NULL
9018;Nordland fylkeskommune;Postboks 1485, 8048 BODØ;8048;http://www.nfk.no;75650000;90;NULL;NULL;NULL
9030;Viken fylkeskommune;Postboks 220, 1702 SARPSBORG;1702;https://viken.no;32300000;90;NULL;NULL;NULL
9031;Østfold fylkeskommune;Postboks 220, 1702 Sarpsborg;1702;https://ofk.no/;69117000;90;NULL;NULL;NULL
9032;Akershus fylkeskommune;Postboks 1200 Sentrum, 0107 Oslo;0107;https://afk.no/;22055000;90;NULL;NULL;NULL
9033;Buskerud fylkeskommune;Postboks 3563, 3007 Drammen;3007;https://bfk.no/;32808500;90;NULL;NULL;NULL
9034;Innlandet fylkeskommune;Postboks 4404 Bedriftsenteret, 2325 Hamar;2325;https://innlandetfylke.no;62000880;90;NULL;NULL;NULL
9038;Vestfold og Telemark fylkeskommune;Postboks 2844, 3702 Skien;3702;https://www.vtfk.no;35917000;90;NULL;NULL;NULL
9039;Vestfold fylkeskommune;Postboks 1213 Trudvang, 3105 Tønsberg;3105;https://vestfoldfylke.no/;33344000;90;NULL;NULL;NULL
9040;Telemark fylkeskommune;Postboks 2844, 3702 Skien;3702;https://telemarkfylke.no/;35917000;90;NULL;NULL;NULL
9042;Agder fylkeskommune;Postboks 788 Stoa, 4809 Arendal;4809;https://agderfk.no;38050000;90;NULL;NULL;NULL
9046;Vestland fylkeskommune;Postboks 7900, 5020 Bergen;5020;https://www.vestlandfylke.no;51207100;90;NULL;NULL;NULL
9050;Trøndelag fylkeskommune;Fylkets hus, Postboks 2560, 7735 STEINKJER;2560;https://www.trondelagfylke.no;74174000;90;NULL;NULL;NULL
9054;Troms og Finnmark fylkeskommune;Postboks 701, 9815 Vadsø;9815;https://www.tffk.no;77755000;90;NULL;NULL;NULL
9055;Troms fylkeskommune;Postboks 6600, 9296 Tromsø;9296;https://www.tromsfylke.no/;77788000;90;NULL;NULL;NULL
9056;Finnmark fylkeskommune;Postboks 701, 9815 Vadsø;9815;https://www.ffk.no/;78963000;90;NULL;NULL;NULL
9205;Universitetssenteret på Svalbard;NULL;9999;NULL;NULL;92;195;UNIS;The University Centre in Svalbard
9219;Nasjonalt organ for kvalitet i utdanningen (NOKUT);Postboks 1708 Vika;0121;http://www.nokut.no;21021800;92;NULL;NOKUT;Norwegian Agency for Quality Assurance in Education
9230;UNIT-Direktoratet for IKT og fellestjenester i høyere utdanning og forskning;Abels gate 5A;7030;http://www.unit.no;22249090;92;NULL;UNIT;NULL
9240;Norsk utenrikspolitisk institutt;PB 8159 Dep;0033;http://www.nupi.no;22994000;92;NULL;NUPI;NULL
9251;Direktoratet for høyere utdanning og kompetanse;Postboks 1093;5013;http://www.hkdir.no;55303800;92;NULL;HK-dir;Norwegian Directorate for Higher Education and Skills
9252;Sikt – Kunnskapssektorens tjenesteleverandør;Abels gt 5A, 7030 Trondheim;7030;http://www.sikt.no;73984040;92;20754;Sikt;??
9260;De nasjonale forskningsetiske komiteene;Kongens gate 14;0153;http://www.etikkom.no;23318300;92;NULL;FEK;The Norwegian National Research Ethics Committees
9302;Studentsamskipnaden i Molde;Britvegen 2;6411;http://www.simolde.no;71214181;93;NULL;NULL;NULL
9303;Studentsamskipnaden i Volda;Postboks 278;6101;http://www.studentsamskipnaden.no;70075240;93;NULL;NULL;NULL
9304;Studentsamskipnaden i Agder;Postboks 1864 Gimle;4686;http://www.sia.no;37253464;93;NULL;SiA;NULL
9311;Studentsamskipnaden i Indre Finnmark;Hánnoluohkká 45;9520;http://www.siif.no;78448431;93;NULL;NULL;NULL
9318;Studentsamskipnaden i Stavanger;Kristine Bonnevies vei;4021;http://sis.uis.no;51833377;93;NULL;NULL;NULL
9321;Studentsamskipnaden i Gjøvik, Ålesund og Trondheim;Kolbjørn Hejes vei 4;7034;https://www.sit.no;73593250;93;NULL;NULL;NULL
9323;Studentsamskipnaden i Østfold;SiØ;1757;http://www.siost.hiof.no;NULL;93;NULL;NULL;NULL
9324;Studentsamskipnaden i Ås;SiÅs;1432;http://www.sias.no;64966300;93;NULL;NULL;NULL
9326;Studentsamskipnaden SiO;Postboks 5283 Majorstuen;0303;http://www.sio.no;22933500;93;NULL;NULL;NULL
9327;Norges arktiske studentsamskipnad;Teorifagbygget Hus 2;9037;http://samskipnaden.no;77649000;93;NULL;NULL;NULL
9329;Nord Studentsamskipnad;NULL;NULL;http://studentinord.no;NULL;93;NULL;NULL;NULL
9330;Studentsamskipnaden i Sørøst-Norge;NULL;NULL;NULL;NULL;93;NULL;NULL;NULL
9331;Studentsamskipnaden i Innlandet;"Postboks 194, 2601 Lillehammer ";2624;http://www.sinn.no;41454900;93;NULL;NULL;NULL
9332;Studentsamskipnaden på Vestlandet;Villaveien 10, 5007 Bergen;5007;http://www.sib.no;55545000;93;NULL;NULL;NULL
9955;Kunnskapsdepartementet;NULL;9999;NULL;NULL;92;NULL;KD;Norwegian Ministry of Education and Research
9956;Norges forskningsråd;NULL;9999;NULL;NULL;92;NULL;NFR;The Research Council of Norway
9957;Statistisk sentralbyrå;Postboks 8131 Dep.;0033;http://www.ssb.no;62885000;92;5932;SSB;Statistics Norway
9958;Nasjonalbiblioteket;NULL;9999;NULL;NULL;92;NULL;NB;National Library of Norway
9959;Riksrevisjonen;Postboks 8130 DEP;0032;https://www.riksrevisjonen.no;22241000;92;NULL;RR;The Office of the Auditor General of Norway

